,0,1,2,3,4,5,6,7,8,9
0,1.0,0.11764705882352941,0.08571428571428572,0.02702702702702703,0.35714285714285715,0.1875,0.05555555555555555,0.15151515151515152,0.15151515151515152,0.22580645161290322
1,0.11764705882352941,1.0,0.0,0.7272727272727273,0.08571428571428572,0.0,0.8095238095238095,0.52,0.05555555555555555,0.05555555555555555
2,0.08571428571428572,0.0,1.0,0.05555555555555555,0.22580645161290322,0.46153846153846156,0.0,0.05555555555555555,0.1875,0.22580645161290322
3,0.02702702702702703,0.7272727272727273,0.05555555555555555,1.0,0.05555555555555555,0.0,0.8095238095238095,0.46153846153846156,0.05555555555555555,0.02702702702702703
4,0.35714285714285715,0.08571428571428572,0.22580645161290322,0.05555555555555555,1.0,0.26666666666666666,0.08571428571428572,0.15151515151515152,0.4074074074074074,0.3103448275862069
5,0.1875,0.0,0.46153846153846156,0.0,0.26666666666666666,1.0,0.0,0.05555555555555555,0.35714285714285715,0.52
6,0.05555555555555555,0.8095238095238095,0.0,0.8095238095238095,0.08571428571428572,0.0,1.0,0.52,0.08571428571428572,0.02702702702702703
7,0.15151515151515152,0.52,0.05555555555555555,0.46153846153846156,0.15151515151515152,0.05555555555555555,0.52,1.0,0.08571428571428572,0.02702702702702703
8,0.15151515151515152,0.05555555555555555,0.1875,0.05555555555555555,0.4074074074074074,0.35714285714285715,0.08571428571428572,0.08571428571428572,1.0,0.35714285714285715
9,0.22580645161290322,0.05555555555555555,0.22580645161290322,0.02702702702702703,0.3103448275862069,0.52,0.02702702702702703,0.02702702702702703,0.35714285714285715,1.0
