,0,1,2,3,4,5,6,7,8,9
0,1.0,0.0,0.15789473684210525,0.0,0.1,0.1,0.0,0.0,0.15789473684210525,0.0
1,0.0,1.0,0.0,0.29411764705882354,0.0,0.0,0.29411764705882354,0.1,0.047619047619047616,0.0
2,0.15789473684210525,0.0,1.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.1
3,0.0,0.29411764705882354,0.0,1.0,0.0,0.0,1.0,0.15789473684210525,0.0,0.0
4,0.1,0.0,0.0,0.0,1.0,0.047619047619047616,0.0,0.15789473684210525,0.1,0.0
5,0.1,0.0,0.2222222222222222,0.0,0.047619047619047616,1.0,0.0,0.047619047619047616,0.1,0.1
6,0.0,0.29411764705882354,0.0,1.0,0.0,0.0,1.0,0.15789473684210525,0.0,0.0
7,0.0,0.1,0.0,0.15789473684210525,0.15789473684210525,0.047619047619047616,0.15789473684210525,1.0,0.047619047619047616,0.1
8,0.15789473684210525,0.047619047619047616,0.0,0.0,0.1,0.1,0.0,0.047619047619047616,1.0,0.0
9,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,1.0
